"id","title","author","issue","volume","venue","page","pub_date","type","publisher","editor"
"meta:br/0602150 doi:10.4230/lipics.stacs.2020.41","A Sub-Quadratic Algorithm For The Longest Common Increasing Subsequence Problem","Duraj, Lech [meta:ra/0610110106 orcid:0000-0002-0004-3751]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/06011771]","Paul, Christophe [meta:ra/0617014248 orcid:0000-0001-6519-975X]; Markus Bläser [meta:ra/06011772]"
"meta:br/0602994 doi:10.12753/2066-026x-13-033","Chess In School - A Blended Learning Pilot Project","Bilghin, Baubeg [meta:ra/06014614]; Fotinica, Gliga [meta:ra/06014615]; Petru Iulian, Flesner [meta:ra/06014616]; Silviu, Apostol [meta:ra/06014617]","","","","","2013","dataset","Romania Adl Association [meta:ra/06014564]",""
"meta:br/0602129 doi:10.4230/lipics.stacs.2020.18","Generalised Pattern Matching Revisited","Dudek, Bartłomiej [meta:ra/06250101530 orcid:0000-0003-2652-995X]; Gawrychowski, Paweł [meta:ra/0612046159 orcid:0000-0002-6993-5440]; Starikovskaya, Tatiana [meta:ra/06011706]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/06011707]","Paul, Christophe [meta:ra/0617014248 orcid:0000-0001-6519-975X]; Markus Bläser [meta:ra/06011708]"
"meta:br/0602152 doi:10.4230/lipics.stacs.2020.43","Identifiability Of Graphs With Small Color Classes By The Weisfeiler-Leman Algorithm","Fuhlbrück, Frank [meta:ra/06011776]; Köbler, Johannes [meta:ra/06011777]; Verbitsky, Oleg [meta:ra/06011778]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/06011779]","Paul, Christophe [meta:ra/0617014248 orcid:0000-0001-6519-975X]; Markus Bläser [meta:ra/06011780]"
"meta:br/0602899 doi:10.11578/1562008","Detection Of An Electron Beam In A High Density Plasma Via An Electrostatic Probe","Majeski, Stephen [meta:ra/06014139]; Yoo, Jongsoo [meta:ra/06014140]; Zweben, Stewart [meta:ra/06014141]; Yamada, Masaaki [meta:ra/06014142]","","","","","2018","dataset","Princeton Plasma Physics Laboratory (Pppl), Princeton [meta:ra/06014143]",""
"meta:br/0602962 doi:10.12751/g-node.vd9c21","Prolonged Intracellular Na+ Dynamics Govern Electrical Activity In Accessory Olfactory Bulb Mitral Cells","Zylbertal, Asaph [meta:ra/06014556]; Kahan, Anat [meta:ra/06014557]; Ben-Shaul, Yoram [meta:ra/06014558]; Yoram, Yosef [meta:ra/06014559]; Wagner, Shlomo [meta:ra/06014560]","","","","","2015-10-27","dataset","G-Node [meta:ra/06014561]",""
"meta:br/0602593 doi:10.5281/zenodo.3954477","The First Finding Of An Asiocoleid Beetle (Coleoptera: Asiocoleidae) In The Upper Permian Belmont Insect Beds, Australia, With Descriptions Of A New Genus And Species","Ponomarenko, Aleksandr G. [meta:ra/06013056]; Yan, Evgeny V. [meta:ra/06804416530 orcid:0000-0003-1326-1317]; Strelnikova, Olesya D. [meta:ra/062010463495 orcid:0000-0003-3213-7522]; Beattie, Robert [meta:ra/062201912325 orcid:0000-0001-5999-444X]","","","[meta:br/0603686 issn:2224-6304]","","2020-07-21","journal article","Zenodo [meta:ra/06013057]",""
"meta:br/0602087 doi:10.4230/lipics.socg.2021.18","Translating Hausdorff Is Hard: Fine-Grained Lower Bounds For Hausdorff Distance Under Translation","Bringmann, Karl [meta:ra/06011567]; Nusser, André [meta:ra/06011568]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/06011569]","Buchin, Kevin [meta:ra/0618012476 orcid:0000-0002-3022-7877]; De Verdière, Éric Colin [meta:ra/06011570]"
"meta:br/0602514 doi:10.4230/oasics.slate.2021.13","Command Similarity Measurement Using NLP","Hussain, Zafar [meta:ra/06906946116 orcid:0000-0002-0717-8181]; Nurminen, Jukka K [meta:ra/0626021979 orcid:0000-0001-5083-1927]; Mikkonen, Tommi [meta:ra/062036074 orcid:0000-0002-8540-9918]; Kowiel, Marcin [meta:ra/06012840]","","","[meta:br/0603684 issn:2190-6807]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/06012841]","Queirós, Ricardo [meta:ra/0626045264 orcid:0000-0002-1985-6285]; Mário Pinto [meta:ra/06012574 orcid:0000-0002-6734-5797]; Simões, Alberto [meta:ra/0619083964 orcid:0000-0001-6961-2660]; Portela, Carlos Filipe [meta:ra/0614014195 orcid:0000-0003-2181-6837]; Pereira, Maria João Varanda [meta:ra/062036385 orcid:0000-0001-6323-0071]"
"meta:br/0602018 doi:10.4230/lipics.sea.2021.6","A Fast And Tight Heuristic For A* In Road Networks","Strasser, Ben [meta:ra/06011379]; Zeitz, Tim [meta:ra/066099520 orcid:0000-0003-4746-3582]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/06011380]","Coudert, David [meta:ra/0617014442 orcid:0000-0002-3306-8314]; Natale, Emanuele [meta:ra/0622065544 orcid:0000-0002-8755-3892]"
